DataHora,Pressao_HX710B,Temperatura,VibX,VibY,VibZ,FimCurso,Velocidade
2025-09-18 08:00:22,4.239,21.31,-0.15,0.06,0.96,1,0.014
2025-09-18 08:00:24,4.239,21.31,-0.15,0.01,0.95,0,0.014
2025-09-18 08:00:26,4.239,21.31,-0.15,0.06,0.96,0,0.014
2025-09-18 08:00:28,4.239,21.31,-0.13,0.05,0.95,1,0.049
2025-09-18 08:00:30,4.239,21.31,-0.14,0.06,0.96,0,0.049
2025-09-18 08:00:32,4.239,21.31,-0.13,0.06,0.96,0,0.049
2025-09-18 08:00:34,4.239,21.31,-0.14,0.05,0.95,1,0.05
2025-09-18 08:00:36,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:00:38,4.239,21.31,-0.12,0.03,0.94,0,0.05
2025-09-18 08:00:41,4.239,21.31,-0.14,0.05,0.94,0,0.05
2025-09-18 08:00:43,4.239,21.31,-0.14,0.04,0.96,0,0.05
2025-09-18 08:00:45,4.239,21.31,-0.13,0.06,0.96,0,0.05
2025-09-18 08:00:47,4.239,21.31,0.0,-0.03,1.18,0,0.05
2025-09-18 08:00:49,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:00:51,4.239,21.31,-0.14,0.05,0.96,1,0.014
2025-09-18 08:00:53,4.239,21.31,-0.11,0.09,0.96,0,0.014
2025-09-18 08:00:56,4.239,21.31,-0.13,0.05,0.97,0,0.014
2025-09-18 08:00:58,4.239,21.31,-0.13,0.06,0.96,1,0.05
2025-09-18 08:01:00,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 08:01:02,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:01:04,4.239,21.31,-0.1,0.08,0.97,1,0.05
2025-09-18 08:01:06,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 08:01:08,4.239,21.31,-0.14,0.05,0.96,0,0.05
2025-09-18 08:01:10,4.239,21.31,-0.15,0.05,0.97,1,0.05
2025-09-18 08:01:12,4.239,21.31,-0.15,0.06,0.94,0,0.05
2025-09-18 08:01:14,4.239,21.31,-0.14,0.05,0.96,0,0.05
2025-09-18 08:01:17,4.239,21.31,-0.14,0.07,0.95,0,0.05
2025-09-18 08:01:19,4.239,21.38,-0.15,0.04,0.96,0,0.05
2025-09-18 08:01:21,4.239,21.31,-0.18,0.08,0.96,0,0.05
2025-09-18 08:01:23,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:01:25,4.239,21.31,-0.15,0.06,0.96,0,0.05
2025-09-18 08:01:27,4.239,21.31,-0.15,0.05,0.96,1,0.014
2025-09-18 08:01:29,4.239,21.31,-0.14,0.05,0.95,0,0.014
2025-09-18 08:01:31,4.239,21.31,-0.15,0.04,0.96,0,0.014
2025-09-18 08:01:33,4.239,21.31,-0.14,0.05,0.95,1,0.05
2025-09-18 08:01:35,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 08:01:37,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 08:01:40,4.239,21.31,-0.17,0.07,0.96,1,0.051
2025-09-18 08:01:42,4.239,21.31,-0.14,0.05,0.95,0,0.051
2025-09-18 08:01:44,4.239,21.31,-0.18,0.06,0.94,0,0.051
2025-09-18 08:01:46,4.239,21.31,-0.14,0.06,0.96,1,0.05
2025-09-18 08:01:48,4.239,21.38,-0.14,0.05,0.96,0,0.05
2025-09-18 08:01:50,4.239,21.31,-0.13,0.02,0.94,0,0.05
2025-09-18 08:01:52,4.239,21.31,-0.15,0.05,0.95,0,0.05
2025-09-18 08:01:54,4.239,21.31,-0.13,0.09,0.93,0,0.05
2025-09-18 08:01:56,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:01:58,4.239,21.31,-0.12,0.08,0.95,0,0.05
2025-09-18 08:02:01,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 08:02:03,4.239,21.31,-0.15,0.02,0.98,1,0.014
2025-09-18 08:02:05,4.239,21.38,-0.14,0.05,0.94,0,0.014
2025-09-18 08:02:07,4.239,21.31,-0.14,0.05,0.95,0,0.014
2025-09-18 08:02:09,4.239,21.31,-0.16,0.03,0.96,1,0.05
2025-09-18 08:02:11,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:02:13,4.239,21.31,-0.13,0.03,0.96,0,0.05
2025-09-18 08:02:15,4.239,21.38,-0.14,0.06,0.95,1,0.05
2025-09-18 08:02:17,4.239,21.31,-0.06,0.01,0.92,0,0.05
2025-09-18 08:02:19,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:02:22,4.239,21.31,-0.15,0.06,0.95,1,0.05
2025-09-18 08:02:24,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 08:02:26,4.239,21.31,-0.13,0.05,0.96,0,0.05
2025-09-18 08:02:28,4.239,21.31,-0.13,0.04,0.96,1,0.049
2025-09-18 08:02:30,4.239,21.31,-0.12,0.06,0.95,0,0.049
2025-09-18 08:02:32,4.239,21.31,-0.14,0.03,0.98,0,0.049
2025-09-18 08:02:34,4.239,21.31,-0.14,0.05,0.96,0,0.049
2025-09-18 08:02:37,4.239,21.31,-0.13,0.05,0.95,0,0.049
2025-09-18 08:02:39,4.239,21.31,-0.16,0.04,0.95,1,0.025
2025-09-18 08:02:41,4.239,21.31,-0.14,0.05,0.96,0,0.025
2025-09-18 08:02:43,4.239,21.31,-0.13,0.06,0.95,0,0.025
2025-09-18 08:02:45,4.239,21.31,-0.13,0.06,0.95,1,0.05
2025-09-18 08:02:47,4.239,21.31,-0.78,0.38,1.19,0,0.05
2025-09-18 08:02:49,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 08:02:51,4.239,21.31,-0.13,0.04,0.95,1,0.05
2025-09-18 08:02:53,4.239,21.31,-0.14,0.05,0.96,0,0.05
2025-09-18 08:02:55,4.239,21.31,-0.14,0.05,0.96,0,0.05
2025-09-18 08:02:58,4.239,21.31,-0.13,0.07,0.95,1,0.05
2025-09-18 08:03:00,4.239,21.31,-0.13,0.07,0.95,0,0.05
2025-09-18 08:03:02,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:03:04,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 08:03:06,4.239,21.31,-0.14,0.04,0.96,0,0.05
2025-09-18 08:03:08,4.239,21.31,-0.16,0.05,0.95,1,0.025
2025-09-18 08:03:10,4.239,21.31,-0.13,0.06,0.95,0,0.025
2025-09-18 08:03:12,4.239,21.31,-0.16,0.01,0.96,0,0.025
2025-09-18 08:03:15,4.239,21.31,-0.13,0.05,0.95,1,0.051
2025-09-18 08:03:17,4.239,21.31,-0.17,0.04,0.97,0,0.051
2025-09-18 08:03:19,4.239,21.31,-0.14,0.05,0.95,0,0.051
2025-09-18 08:03:21,4.239,21.31,-0.14,0.06,0.96,1,0.051
2025-09-18 08:03:23,4.239,21.31,-0.14,0.05,0.95,0,0.051
2025-09-18 08:03:25,4.239,21.31,-0.16,0.05,0.97,0,0.051
2025-09-18 08:03:27,4.239,21.31,-0.14,0.05,0.95,1,0.046
2025-09-18 08:03:30,4.239,21.31,-0.14,0.05,0.95,0,0.046
2025-09-18 08:03:32,4.239,21.31,-0.13,0.07,0.95,0,0.046
2025-09-18 08:03:35,4.239,21.31,-0.14,0.06,0.95,0,0.046
2025-09-18 08:03:37,4.239,21.31,-0.11,0.05,0.96,0,0.046
2025-09-18 08:03:42,4.239,21.31,-0.14,0.07,0.95,0,0.046
2025-09-18 08:03:44,4.239,21.31,-0.14,0.06,0.96,1,0.014
2025-09-18 08:03:46,4.239,21.31,-0.3,0.51,1.12,0,0.014
2025-09-18 08:03:49,4.239,21.38,-0.14,0.06,0.96,0,0.014
